Geneid	pOka_M1_3
84678	367
84876	329
283385	6
144404	287
54509	126
23067	376
3242	524
5715	638
144406	19
605	244
22877	858
254050	1
386653	0
79369	12
56616	727
65082	359
6249	1747
55596	360
65117	985
9735	745
338442	0
8843	0
27198	0
8562	1087
84660	18
9026	475
79720	924
23457	246
79676	291
51329	1951
57605	323
10198	359
91574	378
8099	1751
55206	973
387893	744
196383	190
11066	256
353116	387
10959	5464
57696	452
1967	1027
2967	560
79867	505
23545	311
196385	17
80212	637
144348	3657
100533183	0
144347	0
9612	1906
949	2657
7316	10387
57647	483
140707	107
65985	697
114795	1
92293	0
121260	1013
144423	1
121256	0
11211	0
9271	0
23504	0
2054	540
5901	6423
283383	0
6433	652
4326	3
8408	754
80324	247
57634	1132
317781	300
79050	292
50614	3
57666	517
100507055	0
22953	1
5426	907
5827	326
192111	520
23141	1509
2802	873
55743	245
100289635	295
7574	15
7637	49
7699	98
101060200	31
7556	100
10795	267
647589	0
7278	0
93492	0
54737	838
55269	774
9205	244
7750	1409
2700	0
2706	1
10804	0
51084	292
8100	302
53342	55
221143	97
64328	591
26524	554
10284	2209
221150	446
78988	1002
253832	856
221154	762
2254	2
6445	3
26278	1645
55504	296
4285	411
542767	3
387911	0
221178	247
338872	0
143	2789
479	0
56163	0
55835	219
5042	14
219287	0
9107	611
9818	1038
51761	0
387914	0
6049	812
1024	319
10810	229
2835	0
219333	800
387496	3
2971	1793
219402	554
222484	292
51082	1937
219409	0
3651	0
1045	0
646625	0
2322	2
255967	334
2321	1
51371	1571
283537	385
23281	0
6541	1508
5412	718
84056	416
3146	5200
10208	448
241	25
84935	0
122046	2
10808	2599
145173	419
122042	0
10129	41
646799	0
675	252
90634	127
10443	908
23047	563
9365	2
90627	356
5983	639
26960	1489
4081	1379
9201	122
100526761	0
54937	2
728591	15
23111	1794
8900	0
400120	0
5994	112
4093	173
29880	438
11340	450
55578	991
122011	0
10631	5
7223	233
51569	1226
341640	23
161003	0
80209	585
387921	455
10186	254
57511	407
2308	400
10240	267
10166	202
1997	589
11193	403
89890	376
84078	151
9617	142
79612	220
28984	11
23078	771
160851	432
11215	1236
8600	0
144809	1
94240	10
29103	720
55068	0
160857	0
144811	0
79024	6
387923	137
8848	1324
26747	209
55425	406
2963	742
386618	47
7178	57625
253512	322
83548	582
220081	0
220082	0
283514	0
23091	1106
1361	1
3936	11
220416	0
80183	0
23143	530
2098	1973
3356	0
8803	792
55270	344
29079	716
9445	13465
5925	1802
10161	2
1102	53
57105	0
22862	1145
2862	0
81602	103
81617	175
107303344	0
83852	151
51131	8
55213	1420
115761	1
84650	470
3839	962
57213	381
10206	438
283518	5
220107	49
79621	694
220108	269
647174	5
26512	607
115825	88
79758	186
83446	0
540	198
440138	98
9724	364
341676	1
4752	79
55901	57
51028	700
26586	2042
144983	205
10910	494
11061	0
5100	0
10562	0
729246	0
729250	0
729233	0
122183	0
729240	0
27253	25
81624	820
81550	225
64881	80
5101	75
57626	0
1602	293
440145	436
79866	216
22894	1054
10464	336
688	1151
11278	578
9882	220
170622	1271
7347	311
4008	379
729420	0
115207	312
730249	0
1203	668
26224	756
23077	1073
8796	0
100129307	0
122060	349
1910	3
5457	0
79596	333
64062	730
54602	1061
10253	635
114798	0
84189	1
26050	229
2262	5
10082	1049
1638	2
23483	214
160897	438
11166	0
10257	752
9071	1
22873	994
5611	715
55757	599
266722	0
27199	1
10150	2491
5911	744
3843	4219
10160	979
140432	0
8428	2246
6564	2
23348	524
337867	1009
2841	1
1880	0
9375	3908
171425	172
85416	0
7546	50
5095	351
87769	65
84899	418
259232	161
9358	93
2259	0
7174	1094
196541	0
643677	2
93081	178
79070	370
54841	350
100533467	0
2073	54
6555	0
267012	0
1948	473
55082	1365
728215	235
3981	280
84945	356
10673	4
23026	18
8660	2470
1282	3306
1284	5237
100129836	0
55647	93
55739	720
79587	1046
3621	195
55608	738
8874	873
121793	2
6656	0
122258	0
10426	438
400165	0
23250	1208
23263	1
2155	0
2159	2
8858	5
55795	675
8451	1575
3916	7882
79774	18
101928841	3
113622	4
55208	223
55002	2473
7027	2262
496	0
6011	0
348013	53
2621	1239
643365	1
22821	92
8881	1170
65110	850
283489	509
440153	0
404785	0
641455	0
79334	0
441669	0
441670	0
390429	0
390431	0
79317	0
79544	0
81127	0
122740	0
390433	0
122742	0
390436	0
390437	0
390439	0
122748	0
390442	0
91875	178
57820	522
10038	562
7011	272
123103	1
55644	287
328	4466
90809	483
4860	751
338879	0
390443	0
122651	0
493901	0
341799	0
283	30
6038	160
10876	0
64184	0
6039	0
6035	0
6037	0
6036	0
64745	683
29986	0
57447	205
122664	0
440163	0
84659	1
122665	0
55701	704
51222	514
643382	21
390445	0
3183	8530
57096	9
11198	3117
57680	1659
84932	295
9878	1219
56339	486
6297	507
26533	0
26534	0
26686	0
26687	0
1603	2924
63874	1655
5018	2944
9056	12
122704	551
4323	12367
26020	5913
161253	11
55147	1150
10419	2049
54930	689
84962	2490
60686	182
5693	1973
122706	1
64403	790
22985	2924
55017	1003
1053	0
23428	1397
100507650	5
57594	245
90673	247
100529063	3
599	490
8106	209
51310	24
10278	0
64806	0
116173	0
4624	0
4625	0
25983	326
85446	101
79178	297
8906	1084
84502	4
10202	16
10901	203
317749	162
728635	1
90668	1
9362	0
4901	12
5106	331
80344	1012
161247	3
5720	3207
51016	342
5721	1176
55072	676
10379	948
9985	5714
79711	866
10548	1436
283629	38
29082	518
100528064	0
145553	25
4738	1084
51292	1535
26277	557
7051	149
5875	438
115817	400
161424	644
27141	1
56413	6
1241	105
196883	0
11035	0
4776	302
57523	6
643866	16
23351	729
56948	170
1215	0
1511	0
2999	0
3002	0
29091	273
4857	284
2290	0
5587	214
55632	502
23256	770
1690	48
29966	489
11154	116
25831	2876
25938	709
112487	216
2856	0
80224	280
394	1914
9472	81
64067	9
112399	50
171546	758
55837	663
58533	1369
1073	1722
11177	707
6729	1082
283635	568
55012	265
9692	604
5687	1837
4792	595
84684	0
253959	381
84312	177
51562	285
253970	0
7080	0
26257	0
5083	4
89874	40
145282	141
3169	5
319089	1
6751	17
161198	0
10484	2415
8487	99
122553	439
5411	2690
117153	0
4253	313
254170	442
145581	8
84075	0
122525	111
54813	189
23116	430
55015	530
2287	1190
57697	115
55320	770
140801	0
161357	62
6235	3207
122769	268
6166	3015
4247	945
55172	264
5427	119
122773	20
23588	734
9147	841
382	1211
79609	109
6655	663
79944	220
27109	122
8814	100
11183	1750
51062	27
60485	628
51199	942
145447	6
5836	1177
114088	3
81542	1026
122786	1569
54331	0
51637	2083
22795	1243
5729	0
5732	77
57544	223
283554	39
30001	2526
5706	1114
6815	350
64841	664
10979	1359
80821	376
652	1390
1033	845
10175	1434
2764	1391
10668	142
23034	425
2643	159
11169	476
122809	529
93487	1829
3958	2124
9787	678
55030	810
22863	519
387332	0
3895	4956
57161	88
54916	457
5015	3481
10640	1129
55745	564
122830	514
55195	0
341880	3
145407	137
55860	1097
5684	1156
5926	469
387990	5
26520	535
9786	411
51339	64
23002	398
64582	26
112849	505
51528	1047
729665	8
6252	1
64430	1556
51635	378
5494	722
317761	0
4990	0
6495	4
51804	204
4331	378
57570	431
145389	222
161291	0
5583	81
3091	12533
6617	683
83851	0
27133	17
57381	450
122876	0
5529	647
112840	184
81537	322
23224	1222
2100	2
4522	2415
7597	137
9495	29
22890	579
3306	227
145376	2
26030	880
6710	61
91612	427
100529261	0
2877	1
376267	248
2342	26
4149	757
2530	386
10243	344
161142	1
64398	971
51382	1096
1965	1568
26499	1
161145	36
57475	154
5283	134
384	212
10490	816
51109	1469
145226	3
23503	801
5890	85
677	5278
87	9069
8816	900
55218	491
57452	76
2079	1679
55334	1292
400224	1
56936	0
9766	243
6430	2992
6554	0
64093	0
6547	0
51241	74
100529257	1
55333	698
8747	32
8748	1
10001	406
23508	509
4293	431
22990	1355
26037	396
9628	1
8110	23
26094	161
53349	574
58517	2253
5663	1152
89932	444
8650	941
399671	8
79697	236
641371	89
10965	384
122970	2
641372	3
83544	219
9240	1421
91748	547
145482	528
57862	570
145483	95
51004	207
957	110
80127	84
4329	250
91750	125
338917	0
5826	594
55237	0
646658	0
10577	6078
122961	499
4053	1673
9870	1217
51077	693
56252	1447
283571	12
1743	2336
83694	74
5228	5
8892	811
27030	385
97	103
79696	69
91754	1857
10972	3362
2353	22
122953	166
10538	0
55640	27
11161	1256
23093	671
7043	55
112752	432
55668	847
2103	0
22846	268
23357	360
145497	0
64207	1007
85457	251
283576	0
57156	142
58157	0
29954	858
2954	426
283578	57
161394	50
122945	16
63894	436
10598	2027
145501	6
9517	803
8846	216
81892	605
22938	1294
283579	1
57143	108
9369	398
1734	17549
145508	133
7253	0
2957	427
85439	372
6400	2050
23768	5279
2581	367
8477	1
54207	0
55812	169
11099	394
79882	1359
161436	88
123016	669
1112	760
90141	130
55775	384
56659	0
5700	1539
55051	208
801	2693
145567	326
9252	52
80017	664
8111	3
440193	101
55671	910
79820	0
123036	5
10516	50
9321	772
4287	222
4707	706
53981	1197
123041	0
79890	300
5641	1145
9950	927
1113	0
3705	750
64112	542
26175	177
84520	184
55148	865
55727	461
57578	5
341947	0
145270	0
90050	0
51676	0
78990	146
57062	3409
122509	110
3429	84
83982	698
57718	68
51156	1
866	0
390502	0
5265	215
256394	0
327657	3
145264	0
5267	0
5104	9
12	14
145258	0
23405	747
79789	53
161176	16
51218	746
9623	1
8115	0
56967	524
624	2
623	19
55102	616
51527	484
122481	93
10914	3405
7443	344
283598	0
64919	8
84193	1109
8812	624
317762	2056
84439	442
10858	13
2009	1095
51466	301
123099	0
7528	1167
123096	577
283600	0
7453	1334
79446	118
57596	177
8788	0
388015	0
1735	0
5527	1594
1778	8495
3320	19481
91833	325
5891	154
55778	210
51550	401
9895	521
122416	393
23186	811
7187	554
81693	1
9578	3232
91828	1
7127	26
1983	3293
4140	852
1152	171
115708	329
9529	593
84334	499
3831	1504
7517	365
79038	532
23368	398
9556	1335
122402	0
647286	0
374569	0
26153	6
400258	0
388021	0
64423	2746
122622	194
10572	409
207	2181
100128927	52
283638	849
122618	1
113146	11877
122616	209
55038	510
29933	4
3714	52
256281	340
2972	432
90135	442
23241	848
647310	17
9112	1294
1397	93
1396	2
283643	151
80757	33
727832	0
100996331	0
100287399	0
390538	0
283694	0
283767	0
114791	325
23191	1868
81614	1115
123606	556
440243	0
283685	0
7681	53
54551	0
4692	0
23742	0
6638	0
8926	0
7337	1451
57194	0
2562	0
2558	0
2567	0
4948	0
8924	1381
653720	0
321	88
23359	50
56160	623
7082	2193
653073	6
89832	21
101059918	16
728498	78
89839	55
22909	598
54893	789
4308	74
283710	0
51621	508
161725	0
1139	38
653125	39
728047	3
643699	15
9824	869
6447	24
26585	1
342184	79
6263	17
57099	154
1133	3
56851	1103
161779	49
79768	276
51234	1369
9990	340
55505	1283
256646	1
254531	459
23015	907
440270	300
57369	0
70	31
9716	834
54989	614
89978	140
84529	303
4212	815
145942	0
161742	784
283742	453
10125	212
400359	0
400360	5
7057	9758
161835	11
11245	502
440275	1366
6727	5997
90427	148
701	933
106821730	1
56924	8
644809	0
100131244	1
5330	5
100505573	419
388115	2857
644844	0
85455	44
90417	781
3712	1327
22893	418
113189	875
90416	301
27079	202
57082	361
5888	171
55177	397
2644	88
55192	137
643338	21
84936	292
54866	0
6692	22
171177	4
57617	894
54567	1
79094	56
54617	971
161829	0
11261	1176
11339	143
51203	1873
51103	171
23168	1474
3706	63
4058	2
26015	536
7301	487
23269	451
23005	462
8681	0
100137047	38
100137049	3
51332	13
30844	430
123745	1
283748	0
255189	0
23339	1248
25963	548
2595	326
825	13
64397	4414
8773	823
255252	173
55142	490
57519	519
146059	294
146057	221
197131	679
80021	293
23582	758
2038	0
9333	0
116179	0
9836	274
161823	229
146050	282
27229	530
7158	1643
4130	153
9677	513
1159	29
161497	0
117155	26
548596	0
2923	11666
80237	111
10169	7708
619189	64
25764	694
4236	773
79968	350
84978	303
113201	1794
51496	629
8669	1333
80208	1240
197135	2
567	14028
140691	5
145645	0
6652	526
50506	3
405753	0
90527	1
53905	20
90525	26
9153	1
2628	15
79029	125
84419	0
7782	87
26258	905
58472	394
80031	0
283652	20
50804	1107
399697	2
6557	0
1854	1194
2200	12901
22995	228
399694	15
23741	3861
9728	921
9318	1703
2585	222
196951	31
2252	1
56986	260
79895	30
11001	693
3067	0
2553	298
9101	1234
373509	3
54822	1245
84888	383
23431	262
388121	25
1588	0
342035	2
23312	617
29106	0
256586	102
29767	266
29766	912
123169	552
5597	1365
10017	2
10681	714
55930	688
4644	724
10776	2721
56204	354
3175	5
256764	0
440279	0
51187	1512
5873	351
101928527	78
9488	233
9236	1127
145788	28
161582	107
26108	400
283659	355
4734	584
64864	1449
374618	128
55329	207
54816	458
6938	1311
84952	5926
145781	0
100820829	19
81488	60
8854	0
366	2
3990	1
102	2414
54629	302
79811	1317
54778	770
9133	983
4643	4696
92483	9
145773	74
9245	5
2958	807
663	1037
27023	0
302	39947
79664	721
6095	120
54832	1000
145741	1
388125	0
83660	963
7168	13968
114294	898
51065	4153
51762	860
83464	409
771	637
9960	454
283807	4
8925	873
23604	51
84191	934
6642	1923
79856	20
5479	4623
53944	663
9768	821
9325	328
23060	1339
4947	1795
348093	6
80119	80
80301	461
348094	34
51324	1186
123263	218
123264	0
51285	1
390594	0
390595	9
10081	363
10845	636
8483	1
54956	173
9543	0
57722	7
54878	412
51495	2621
81556	625
9187	335
10260	510
8766	3110
84465	4
115752	523
54962	133
5604	1030
10302	137
6124	44502
55055	459
197021	15
4091	828
4088	3683
79719	670
64799	49
145853	119
5607	348
390598	3
8554	935
91860	76
54982	611
10116	793
22801	2
10391	98
8125	2176
79400	7
246777	205
26035	332
54852	890
9493	1143
6176	20886
7090	275
55075	4122
55323	1205
54839	150
56906	115
196993	1
79875	342
10002	3
4649	327
123228	69
196996	3
5315	57739
56965	771
60677	36
3073	4744
338949	0
25820	1400
55889	2
585	423
83440	1182
4756	569
10021	0
283677	1
27020	1907
80381	5321
388135	0
161514	0
4016	2928
9399	200
5371	791
342096	1
57611	0
3671	0
64220	6
80125	0
1583	0
8482	264
84993	705
10620	86
1198	733
80153	684
1543	61
1544	0
1445	667
79748	0
594855	2
25989	348
10066	1814
4351	1204
57184	835
9377	1713
54913	39
192683	213
60490	149
56905	254
653641	0
653643	0
54939	1143
79661	144
4123	790
25942	1118
5780	894
10073	401
55272	1036
257364	1496
1464	48
161753	5
92912	714
26263	766
145957	10
123591	6
2108	1106
64843	0
49855	238
5955	2028
9051	1
10099	5920
79834	700
10363	844
84894	0
23102	1286
646892	0
10518	20
3419	850
23205	0
55466	4
80349	720
1381	0
3658	1100
123688	42
5685	2308
1138	153
1136	8
1143	3
11173	649
10933	5087
1512	18760
5923	70
390616	4
23423	2475
23251	14
100528021	2
10588	8
400410	50
597	1
54469	1356
2184	675
9915	449
58489	166
57214	30
23184	1133
59274	238
161502	0
3603	9
80765	33
342125	4
84206	124
79631	706
283726	13
647042	2
440295	52
6218	19002
64506	7
8120	1
123722	48
123720	211
9455	533
83640	217
123207	166
53339	2214
53346	62
50810	923
646	1
6457	34
57188	869
100505679	7
643707	22
54993	161
84942	498
4828	137
23478	3388
9640	800
57538	12
9154	0
5151	418
100133220	3
11214	814
64410	115
123624	0
4916	1
26589	282
64963	797
55070	152
64782	957
3669	27
176	0
145864	22
4240	4525
11057	4930
6017	7
55215	1103
5428	703
51458	0
90381	329
374654	173
5346	4
8800	129
56964	4
55897	27
145873	0
290	1
100526783	0
10239	9
348110	428
374655	151
3418	696
10509	1070
10519	1804
390637	27
51335	1776
342132	38
8826	7146
64784	450
641	222
5045	1675
2242	2
4122	1622
55898	1455
374659	291
91433	487
9055	3119
26276	285
9899	1
28232	292
8128	0
145858	0
400451	0
1106	2077
56963	0
55784	0
7026	2746
145946	0
91947	379
283777	0
3480	1135
145814	0
23336	481
64927	301
123355	119
4205	1666
145748	151
170691	12
204219	5
55180	126
140460	323
220	9323
79705	1
22856	625
55829	420
6627	605
5046	2
80213	287
123283	97
390648	0
390649	0
26682	0
51728	252
79622	291
64285	618
4350	1117
8131	535
3050	0
3042	0
3040	0
3039	0
3049	2
55692	483
83986	2574
8786	379
398	28
64714	9
8312	568
10573	1147
58986	1735
4833	1668
26063	318
9727	875
6650	672
146325	0
283948	0
9091	923
57799	216
117166	4
84326	1030
84331	312
197335	329
89941	1186
9028	37
10273	702
339123	926
84219	288
146330	2
79006	1382
65990	200
124093	57
84264	273
64428	405
10232	14
113000	519
63922	281
51764	6
388199	3
64788	224
30812	31
6755	0
390664	0
8912	0
25823	0
64499	0
7177	0
23430	0
7329	2097
8938	16
115939	729
84572	1818
64718	263
283951	167
645811	7
1186	1525
390667	0
9894	522
9742	453
79652	3
57585	490
90861	1704
23162	795
4832	311
65993	1224
197342	35
90864	447
10101	695
3483	5
3029	588
81889	711
254528	2
64711	0
51734	258
6123	0
4716	1437
146310	2
10607	553
124056	41
2671	456
9143	159
90850	687
283869	0
9351	307
4913	183
7249	997
5310	871
25837	164
84231	1750
57524	52
64223	963
283870	42
283871	565
1877	315
1775	10
1632	843
10921	2064
21	1318
899	425
80178	116
4917	2
57465	126
527	2346
51005	336
752014	121
5170	1003
54442	687
83886	47
23524	8557
6923	2739
260429	7
360226	0
10942	0
124220	0
64063	0
114984	428
84256	732
79412	13
124222	577
9088	261
9080	9
9074	3
51330	2264
54985	2843
79228	448
146439	0
64386	31
9235	101
84891	2
7755	237
7760	239
4992	2
7752	155
4210	0
10127	541
91151	138
7627	243
4993	0
100463285	0
54925	279
7727	231
146434	87
79903	674
646174	0
23059	514
197358	23
84464	183
1773	99
10131	2324
1387	846
115	457
6345	1
7023	167
84662	1732
51025	5
100529144	0
79585	71
114990	786
9093	1105
57407	413
3163	753
29965	803
342346	1
124402	248
23295	829
84309	328
124401	153
146562	11
26048	173
124404	1
440335	0
79641	451
84656	1896
29855	1335
5493	1929
9717	6
51172	434
146556	3
56052	424
196483	117
54715	0
283953	0
79091	234
18	15
25880	158
5373	555
23589	691
7874	1402
29035	606
2903	143
80063	99
2013	548
146279	2
4682	335
780776	7
4261	1
28955	378
23274	512
8651	1
7142	0
58531	0
5620	0
5619	0
116028	135
9516	2555
8303	787
51061	863
29066	1105
26156	3384
2935	2850
608	0
92017	361
55313	595
729993	2
2072	235
57496	616
5073	751
51283	1311
8399	3
642778	3
642799	0
23420	2877
9284	168
23042	1684
123803	591
54700	762
100288332	28
255027	0
89927	846
9665	787
54820	368
4629	7
123811	629
4363	2829
368	40
408050	471
101059938	0
101059953	0
64131	0
283820	1045
23204	6775
23049	2073
79905	55
10229	273
162073	610
51760	276
728276	92
79838	7
51573	2616
9738	531
57020	1359
400506	486
124152	473
51704	796
124274	0
2813	0
7369	0
204474	0
54988	3
123876	0
348158	0
116285	2
55623	792
6296	59
112479	309
81691	153
123879	159
57149	463
55567	0
57146	179
7783	0
257629	0
1428	66
23117	214
51108	1834
10261	1
146183	0
440345	69
7385	3118
255762	0
730094	225
146177	1
29904	406
55718	518
1039	1043
100132247	260
9956	0
57478	180
6340	0
6338	0
91949	373
23062	2194
124454	760
56061	1443
4706	767
79728	444
84516	1509
5347	1207
10595	2
63928	0
5579	3
10368	0
5930	1271
27327	1335
115584	8
55114	1226
51451	482
343	0
342357	215
9951	0
162083	0
79831	74
197370	769
3566	268
50615	7
2975	2253
23247	567
146395	0
23214	2178
388228	61
728741	14
728689	26
1201	871
55911	3
246778	0
26471	1678
112869	182
6799	4
6817	311
728734	0
8663	219
100507607	5
11273	2086
7284	4755
25970	808
487	84
79874	228
930	0
84901	868
83985	1026
27040	52
728888	34
107282092	133
548593	0
79008	0
445329	4
6693	0
23475	404
283897	0
653808	0
3835	967
4150	2546
112476	125
79447	709
9961	2888
10423	1412
26470	2325
253982	347
253980	230
124446	1156
9344	1122
8479	393
283899	541
8448	58
146378	0
83723	5
226	36333
5531	1519
6911	5
83719	581
79153	16
5595	1561
11151	9
654483	0
552900	0
6818	4
10421	1098
26000	991
29895	0
1731	46
197407	196
51333	97
79077	621
22928	849
3683	0
79724	642
65988	119
92595	100
146542	171
146540	50
115509	212
78994	517
64319	841
730183	20
10847	1540
100862671	84
5261	426
90835	7
9810	1879
23361	986
9274	768
1489	131
54620	512
93129	901
9739	673
80270	383
112755	15
6810	535
79759	248
9726	447
339105	92
79001	5310
10295	1329
84148	325
5652	4
146547	7
2521	3626
29108	126
493829	0
260434	0
3684	1
3687	37
3681	0
1339	0
283933	6
79798	153
7041	366
6524	7
64755	1118
51327	0
124411	83
10308	194
729264	0
24150	0
729355	0
653550	0
79801	707
55737	2696
23594	261
91807	2
388272	148
84706	459
10294	1266
81831	1203
81533	1945
5257	1737
94160	0
85320	2
83752	1055
6477	409
9683	598
869	0
123970	0
23090	0
255919	226
55027	227
64282	434
113	127
29117	1618
85407	0
124460	0
64127	2
1540	918
6299	0
388276	0
27324	1
80205	1467
643802	0
5934	1281
64400	376
23322	403
79068	841
79191	134
643911	179
10265	48
79190	0
4313	508
54947	598
84290	1
6530	0
1066	0
221223	0
2775	4
267	1369
11051	2024
55239	923
583	865
84560	0
4504	0
4502	17949
4493	5161
4499	0
4489	0
4490	0
4494	87
4495	0
4496	0
4501	1167
9688	830
6559	0
9709	925
1071	3
84166	221
221184	500
80011	1269
89970	676
23568	952
51090	17
6367	0
6376	0
6361	2
57019	784
57017	1083
5432	906
55715	1007
92922	154
221188	12
9289	1525
222487	0
84229	0
10300	453
3801	799
388282	0
1258	0
374739	0
57567	202
79650	565
4324	1257
29105	658
1459	464
29070	220
221191	0
64785	412
65009	207
79918	191
23019	4227
55238	552
2806	2737
729159	0
1006	0
1009	1811
1003	1
146227	4
7084	539
100529251	0
51192	58
113540	41
146225	2
123920	617
146223	943
1783	2251
283847	0
8883	928
766	1
57546	326
1014	0
6236	14
51647	834
8824	1329
23491	28
283848	2
865	559
80262	390
84752	533
8717	262
55336	44
3299	113
8996	565
653319	323
283849	17
1874	903
79767	21
26231	43
29100	434
29109	486
6553	121
25894	515
146212	35
55282	7
51673	2
29800	260
3291	4
9114	1358
181	0
79567	1018
10664	975
146206	6
65057	352
50855	151
84080	275
388284	7
81577	272
57610	531
55815	19
80152	471
57215	495
10204	2855
23644	870
123904	2
5681	819
1506	12
5699	317
3931	93
6560	1068
64180	0
64174	0
100131303	0
55794	207
54920	248
4775	586
80004	5
23659	1070
9057	1810
84138	137
54496	662
55512	102
146198	869
1001	3
999	0
79613	261
3038	46
54921	1526
84916	1193
6645	323
27183	1111
84342	449
64146	94
51388	492
146456	15
7014	392
80777	1716
10725	1097
1728	5885
28987	1454
11060	714
348174	0
55066	982
283971	1
118460	156
16	2137
11269	447
55308	834
6483	411
197258	308
25839	1396
23450	3266
146433	2
92154	3360
55697	1279
54768	153
55783	390
794	11
7571	293
7567	54
10164	3
6898	4
91862	3
23035	303
164	1827
342371	825
55565	66
9798	1994
342372	8
1723	144
3240	0
3250	0
54957	230
9785	1091
83449	1
463	593
388289	1
5713	1907
440348	23
497190	5
2734	2870
55159	1058
197259	136
79152	5
79726	589
84937	332
197257	61
162239	197
440387	1
1504	0
9564	2477
10428	732
124491	165
4166	3
23563	3
79583	318
11345	1139
23536	238
3735	2580
54386	1023
85445	12
22879	497
100130958	60
170692	1
283927	67
57687	16
10143	0
51741	71
4094	4
83657	18
124359	75
56942	360
55839	561
23300	982
123775	32
2653	335
114780	129
53630	5
8139	68
80790	1595
5336	97
93517	1
3294	8775
10200	401
1012	1
3281	2131
23417	172
29948	147
54550	1
146167	0
8720	2993
83693	427
123872	2
9013	503
161931	0
93107	0
58189	0
9914	12
57707	595
23406	6290
79786	730
9100	1548
83716	11
55625	1482
9764	199
339145	0
23199	854
51659	466
404550	116
10328	522
1327	4576
3394	0
2294	8
64779	264
2303	0
2300	25
100506581	72
79791	503
81631	1874
23174	1031
57338	4
54758	247
8140	5486
763	0
54971	206
84627	1
161882	121
124245	810
27189	0
1535	593
4597	718
333929	7
115992	178
348180	230
9780	3576
81620	450
353	1425
2588	607
51693	920
390748	0
863	0
100129697	0
197322	328
1013	0
146429	0
197320	91
29123	2087
100287036	11
6687	951
6137	22904
27132	55
1800	0
5119	1530
124045	104
8558	614
124044	130
9605	270
92822	191
2175	435
84501	191
22980	1755
4157	86
10381	1196
54849	809
92806	247
79007	643
2622	448
11105	0
8447	0
9501	20
100506388	0
400566	111
359845	590
55275	573
79850	746
50628	664
51031	1052
55178	340
64359	191
29928	419
29	4355
727857	0
286753	0
7531	10286
1398	1521
4641	6919
51763	692
5306	2092
124935	59
8578	13
83547	80
10594	6135
727910	99
124997	567
5345	21
5176	363
114826	226
6117	1951
146760	0
1801	327
124641	75
3090	56
23293	924
63826	111
55720	1037
9905	1775
4335	392
79066	362
5048	2184
23277	1296
23108	111
8386	0
4991	0
8390	0
26189	0
8383	0
4995	0
4994	0
8387	0
8392	0
8388	0
84690	0
443	0
162514	14
7442	67
23729	432
1497	389
30851	1496
83460	717
5026	374
3682	143
83903	82
55421	465
84254	103
5023	0
489	0
23140	1052
124936	729
51479	1534
7326	857
201305	125
124976	8291
10514	418
124975	1
342527	0
246	0
27043	839
409	596
400569	256
58191	245
84225	7
9032	0
284013	3
388323	16
5694	1443
5338	347
50488	1479
1145	4
100130311	12
2811	22
8402	881
26001	2209
5216	10065
2027	47
9552	773
23125	598
388324	92
10749	3547
55065	1
124961	5
7775	72
9098	5
84622	50
388325	4
9135	1173
4927	1018
84268	505
708	2045
56919	704
51009	633
79003	344
728392	503
22861	198
23302	126
23746	0
54478	537
83394	2948
9851	517
84817	424
51003	149
388327	85
284111	1
54739	0
162517	0
83659	0
239	123
440400	2598
124944	412
255877	1
201232	69
162515	0
10462	0
433	0
432	6
1742	305
37	5988
1856	834
79142	1068
11337	5688
23399	2131
23587	410
1366	0
6517	2
51087	0
1984	9024
2874	926
84461	539
9744	128
147040	562
339168	0
8711	127
57048	748
254863	461
57555	766
374768	0
201243	0
284114	116
2256	31
1140	454
57659	2204
643664	4
5430	2197
407977	0
8742	138
8741	112
26168	1017
1973	13233
968	3109
9526	1263
6665	36
9513	937
6462	8
112483	461
482	0
7157	1099
55135	304
1949	560
146754	5
23135	391
92162	5
84316	874
124637	349
1107	2672
9196	12
58485	1581
116840	628
3000	1
247	0
242	9
59344	6
84667	8
5187	197
6844	891
84314	231
54785	194
9212	535
80169	260
5198	659
399512	44
29098	44
22899	0
146852	0
124751	26
6154	21032
643904	0
81565	503
4628	2329
146849	0
388333	0
162387	0
146850	0
23533	0
9423	3
9482	321
146845	3
124739	67
201140	0
644070	0
9340	5
5957	2
8522	404
8735	0
4626	1
4622	0
4619	0
4620	0
4621	33
6341	554
56985	150
388335	59
644139	0
388336	0
1770	0
7566	99
6416	628
93649	0
9912	4
60528	1514
9955	785
1352	228
146822	3
9953	170
5376	1648
64518	8
100533496	0
284040	0
201158	54
374286	7
10626	460
57335	268
353149	1
136	597
125150	157
54902	993
9611	1799
9487	40
201161	72
7314	9383
51393	16
388341	4533
57336	164
57547	42
9720	96
23495	0
23164	3515
201164	58
201163	401
8533	1056
56953	119
55090	291
51655	3
10400	422
10743	800
6720	1074
146691	941
83450	42
91647	314
79018	381
1819	497
51168	7
54890	1323
3996	748
2314	3663
125170	388
7156	623
140775	965
6470	1375
645027	0
654346	0
254272	4
729288	44
147166	289
10517	1
51030	475
5636	421
125206	65
644815	220
10750	1
400581	0
79999	0
388436	0
22905	594
27077	410
5598	442
4239	11
7732	1
6187	1048
55244	329
224	3206
146802	4
218	0
9706	497
11216	489
92521	1960
284194	1
256223	0
339184	0
23326	3501
25979	200
8834	571
256302	330
5606	695
3768	0
100134444	0
339263	82
100462977	0
26118	1132
8844	69
3965	4
4843	0
201229	124
